date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:52	119/119	---MCZ	200	added ('OK')	text/plain	date:Thu,%2013%20Aug%202020%2012:31:32%20GMT	https://zefoy.com/robots.txt		(from )
19:34:52	14380/14380	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Feb%202022%2000:34:51%20GMT	https://zefoy.com/	C:/My%20Web%20Sites/1111/zefoy.com/index.html	(from )
19:34:52	4286/4286	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2027%20Jul%202020%2006:17:41%20GMT	https://zefoy.com/assets/favicon.ico	C:/My%20Web%20Sites/1111/zefoy.com/assets/favicon.ico	(from https://zefoy.com/)
19:34:52	160671/160671	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Jul%202021%2011:28:11%20GMT	https://zefoy.com/assets/bootstrap.min.css?v=16247166200	C:/My%20Web%20Sites/1111/zefoy.com/assets/bootstrap.min5c35.css	(from https://zefoy.com/)
19:34:53	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	http://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/1111/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://zefoy.com/)
19:34:53	11989/11989	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Aug%202020%2004:51:50%20GMT	https://zefoy.com/assets/f49dae2c2269c486bb85979af55a7185.css?v=16247166200	C:/My%20Web%20Sites/1111/zefoy.com/assets/f49dae2c2269c486bb85979af55a71855c35.css	(from https://zefoy.com/)
19:34:57	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	http://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/1111/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://zefoy.com/)
19:34:59	131546/131546	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03efe-201da%22	http://cdnjs.cloudflare.com/ajax/libs/materialize/0.97.6/js/materialize.min.js	C:/My%20Web%20Sites/1111/cdnjs.cloudflare.com/ajax/libs/materialize/0.97.6/js/materialize.min.js	(from https://zefoy.com/)
19:34:59	6799/6799	---MC-	200	added ('OK')	image/png	date:Wed,%2016%20Feb%202022%2000:34:56%20GMT	https://zefoy.com/a1ef290e2636bf553f39817628b6ca49.php?_CAPTCHA&t=0.40413100+1644971691	C:/My%20Web%20Sites/1111/zefoy.com/a1ef290e2636bf553f39817628b6ca49e0be.png	(from https://zefoy.com/)
19:35:02	86709/86709	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	C:/My%20Web%20Sites/1111/ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from https://zefoy.com/)
19:35:02	154927/154927	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Feb%202022%2000:34:53%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/1111/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://zefoy.com/)
19:35:02	43/43	---M--	200	added ('OK')	application/javascript	date:Fri,%2027%20Dec%202019%2011:44:06%20GMT	https://zefoy.com/assets/ads.js?v=16247166200	C:/My%20Web%20Sites/1111/zefoy.com/assets/ads5c35.js	(from https://zefoy.com/)
19:35:02	5698/5698	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2027%20Jul%202021%2014:04:28%20GMT	https://zefoy.com/assets/c2adfdd3ec2370494471c635874e903e.js?v=16247166200	C:/My%20Web%20Sites/1111/zefoy.com/assets/c2adfdd3ec2370494471c635874e903e5c35.js	(from https://zefoy.com/)
19:35:02	3958/3958	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Oct%202020%2013:49:19%20GMT	https://zefoy.com/assets/084adbdeab59f89e75747aab13bd9198.js?v=16247166200	C:/My%20Web%20Sites/1111/zefoy.com/assets/084adbdeab59f89e75747aab13bd91985c35.js	(from https://zefoy.com/)
19:35:03	3775/3775	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Oct%202020%2014:31:36%20GMT	https://zefoy.com/assets/cnld950a45d32222242cc709df013ebe.js?v=16247166200	C:/My%20Web%20Sites/1111/zefoy.com/assets/cnld950a45d32222242cc709df013ebe5c35.js	(from https://zefoy.com/)
